区域,题目,解锁时间,通过时间,花费时间,错误提交数,里程碑提交数,正确提交数
新手教程,新手教程,2025-07-18 20:00:00,2025-07-24 09:15:15,133:15:15,1,0,1
新手教程,抉择,2025-07-24 09:15:15,2025-07-24 09:18:02,0:02:47,1,0,1
我毫无头绪,小学数学练习题,2025-07-18 20:12:03,2025-07-18 20:58:18,0:46:15,0,2,1
我毫无头绪,复合函数,2025-07-18 20:12:32,2025-07-18 22:45:06,2:32:34,0,0,1
我毫无头绪,剪切线,2025-07-18 20:12:34,2025-07-19 15:27:51,19:15:17,4,0,1
我毫无头绪,纸不笔谜题,2025-07-18 22:46:47,2025-07-21 15:43:38,64:56:51,1,0,1
我毫无头绪,水果拼盘,2025-07-18 22:46:54,2025-07-26 15:33:34,184:46:40,12,7,1
我毫无头绪,这题太色了,2025-07-19 10:13:20,2025-07-21 16:23:57,54:10:37,1,0,1
我毫无头绪,〇〇，启动！,2025-07-19 15:28:07,2025-07-19 16:11:42,0:43:35,1,1,1
我毫无头绪,金牌得主,2025-07-19 16:12:33,2025-07-19 18:20:14,2:07:41,1,0,1
我毫无头绪,神秘等式,2025-07-19 16:13:17,2025-07-19 16:48:39,0:35:22,2,0,1
我毫无头绪,我毫无头绪,2025-07-21 15:43:38,2025-07-23 20:13:34,52:29:56,1,0,1
该如何提取,首先你来到秋叶原,2025-07-19 21:21:13,2025-07-20 00:54:24,3:33:11,1,1,1
该如何提取,谜途指北,2025-07-19 21:24:17,2025-07-20 01:33:49,4:09:32,0,0,1
该如何提取,历史的进程,2025-07-20 00:59:42,2025-07-20 01:53:43,0:54:01,0,0,1
该如何提取,小游戏,2025-07-20 01:01:07,2025-07-21 01:04:24,24:03:17,2,0,1
该如何提取,填字游戏,2025-07-20 01:34:25,2025-07-25 01:46:50,120:12:25,9,4,1
该如何提取,断章,2025-07-20 01:34:30,2025-07-21 21:45:55,44:11:25,4,0,1
该如何提取,亚特兰蒂斯的秘密,2025-07-20 01:34:38,2025-07-20 18:17:20,16:42:42,0,0,1
该如何提取,弱纸吧,2025-07-20 01:54:19,2025-07-21 16:06:34,38:12:15,2,0,1
该如何提取,飞行棋,2025-07-20 02:50:20,2025-07-22 14:36:16,59:45:56,2,1,1
该如何提取,该如何提取,2025-07-21 21:45:55,2025-07-22 22:44:55,24:59:00,0,0,1
该如何排序,印表机的恶作剧,2025-07-20 11:19:12,2025-07-22 10:07:22,46:48:10,1,1,1
该如何排序,空白小抄,2025-07-20 11:24:01,2025-07-20 12:40:56,1:16:55,0,1,1
该如何排序,古诗窃贼,2025-07-20 14:02:35,2025-07-20 15:04:30,1:01:55,3,0,1
该如何排序,赛博艺术,2025-07-20 14:02:38,2025-07-23 14:39:34,72:36:56,0,0,1
该如何排序,新加坡之旅,2025-07-20 14:02:42,2025-07-20 17:37:20,3:34:38,0,0,1
该如何排序,公式化海龟汤,2025-07-20 14:02:43,2025-07-22 15:41:45,49:39:02,0,1,1
该如何排序,金牌谜题赏,2025-07-20 15:05:07,2025-07-22 17:35:30,50:30:23,2,2,1
该如何排序,Word☆Play,2025-07-20 15:10:56,2025-07-21 19:46:24,28:35:28,0,1,1
该如何排序,表意文字,2025-07-20 17:39:12,2025-07-21 14:48:30,21:09:18,0,0,1
该如何排序,该如何排序,2025-07-22 15:41:45,2025-07-24 09:08:32,41:26:47,1,0,1
最终元谜题,最终元谜题,2025-07-24 09:18:02,2025-07-24 11:26:03,2:08:01,0,1,1